	Description	KEGG Ontology
6666666.754255.peg.1	Chromosomal replication initiator protein DnaA	
6666666.754255.peg.2	DNA polymerase III beta subunit (EC 2.7.7.7)	KEGG_ENZYME:2.7.7.7
6666666.754255.peg.3	Uncharacterized S4 RNA-binding-domain protein YbcJ	
6666666.754255.peg.4	DNA recombination and repair protein RecF	
6666666.754255.peg.5	DNA gyrase subunit B (EC 5.99.1.3)	KEGG_ENZYME:5.99.1.3
6666666.754255.peg.6	DNA gyrase subunit A (EC 5.99.1.3)	KEGG_ENZYME:5.99.1.3
6666666.754255.peg.7	SSU ribosomal protein S6p	
6666666.754255.peg.8	Single-stranded DNA-binding protein	
6666666.754255.peg.9	SSU ribosomal protein S18p @ SSU ribosomal protein S18p%2C zinc-independent	
6666666.754255.peg.10	Cyclic-di-AMP phosphodiesterase GdpP	
6666666.754255.peg.11	LSU ribosomal protein L9p	
6666666.754255.peg.12	Replicative DNA helicase (DnaB) (EC 3.6.4.12)	KEGG_ENZYME:3.6.4.12
6666666.754255.peg.13	Uncharacterized MFS-type transporter	
6666666.754255.peg.14	Glutamate 5-kinase (EC 2.7.2.11)	KEGG_ENZYME:2.7.2.11
6666666.754255.peg.15	Gamma-glutamyl phosphate reductase (EC 1.2.1.41)	KEGG_ENZYME:1.2.1.41
6666666.754255.peg.16	Oligopeptide ABC transporter%2C substrate-binding protein OppA (TC 3.A.1.5.1)	
6666666.754255.peg.17	Nucleotide sugar synthetase-like protein	
6666666.754255.peg.18	1%2C4-alpha-glucan (glycogen) branching enzyme%2C GH-13-type (EC 2.4.1.18)	KEGG_ENZYME:2.4.1.18
6666666.754255.peg.19	Glucose-1-phosphate adenylyltransferase (EC 2.7.7.27)	KEGG_ENZYME:2.7.7.27
6666666.754255.peg.20	Glycogen biosynthesis protein GlgD%2C glucose-1-phosphate adenylyltransferase family	
6666666.754255.peg.21	Glycogen synthase%2C ADP-glucose transglucosylase (EC 2.4.1.21)	KEGG_ENZYME:2.4.1.21
6666666.754255.peg.22	Glycogen phosphorylase (EC 2.4.1.1)	KEGG_ENZYME:2.4.1.1
6666666.754255.peg.23	Neopullulanase (EC 3.2.1.135)	KEGG_ENZYME:3.2.1.135
6666666.754255.peg.24	hypothetical protein	
6666666.754255.peg.25	Hydrolase (HAD superfamily) in cluster with DUF1447	
6666666.754255.peg.26	Beta-phosphoglucomutase (EC 5.4.2.6)	KEGG_ENZYME:5.4.2.6
6666666.754255.peg.27	Trehalose 6-phosphate phosphorylase (EC 2.4.1.216)	KEGG_ENZYME:2.4.1.216
6666666.754255.peg.28	hypothetical protein	
6666666.754255.peg.29	Cold shock protein of CSP family	
6666666.754255.peg.30	FIG00743855: hypothetical protein	
6666666.754255.peg.31	Two-component response regulator SA14-24	
6666666.754255.peg.32	Two-component sensor kinase SA14-24	
6666666.754255.peg.33	Two-component system YycFG regulatory protein YycH	
6666666.754255.peg.34	Distant homolog of hypothetical protein SA_21	
6666666.754255.peg.35	Zn-dependent hydrolase YycJ/WalJ%2C required for cell wall metabolism and coordination of cell division with DNA replication	
6666666.754255.peg.36	Serine protease%2C DegP/HtrA%2C do-like (EC 3.4.21.-)	KEGG_ENZYME:3.4.21.-
6666666.754255.peg.37	23S rRNA (pseudouridine(1915)-N(3))-methyltransferase (EC 2.1.1.177)	KEGG_ENZYME:2.1.1.177
6666666.754255.peg.38	transcriptional regulator	
6666666.754255.peg.39	Aldehyde dehydrogenase (EC 1.2.1.3)	KEGG_ENZYME:1.2.1.3
6666666.754255.peg.40	Uncharacterized protein BT_4536	
6666666.754255.peg.41	Hypothetical protein VC0266 (sugar utilization related?)	
6666666.754255.peg.42	p-nitrobenzoate reductase	
6666666.754255.peg.43	p-nitrobenzoate reductase	
6666666.754255.peg.44	p-nitrobenzoate reductase	
6666666.754255.peg.45	6-pyruvoyl-tetrahydropterin synthase related protein	
6666666.754255.peg.46	elongation factor G-binding protein%2C putative	
6666666.754255.peg.47	redox proteins related to the succinate dehydrogenases and fumarate reductases	
6666666.754255.peg.48	2-oxoglutarate/malate translocator	
6666666.754255.peg.49	Mobile element protein	
6666666.754255.peg.50	cation transport protein	
6666666.754255.peg.51	Malolactic regulator	
6666666.754255.peg.52	FIG00744038: hypothetical protein	
6666666.754255.peg.53	Arsenate reductase (EC 1.20.4.4) thioredoxin-coupled%2C LMWP family	KEGG_ENZYME:1.20.4.4
